ID,Name,Discounted Price,Original Price,Discount(%),Rating,Shipping
70,Core 2 Due Mix Brand Laptop 4GB ram 320GB HRAD Disk with colors sheet,"17,500","30,000",42%,1,Free Shipping
71,"Dell Latitude 7400 Laptop, 14.0"" FHD (1920 x 1080), i5-8365U, 8th Gen, 8GB RAM, 256GB SSD, Windows 10 Pro","69,999","85,000",18%,2,No Free Shipping
72,Daraz Like New Laptops - Dell Chromebook 11 3180 - 4GB RAM - 32GB SSD,"13,999","24,999",44%,0,Free Shipping
73,"Apple MacBook Pro (13-inch, 2011) - 2.8GHz dual-core Intel Core i7 Processor - RAM 8GB DDR3 - 500GB HDDD - MacOS Installed - Silver","42,500","49,000",13%,1,No Free Shipping
74,Dell Latitude E7470 - Core i7 6th Generation - 8GB DDR4 RAM - 256GB SSD - 14inch Screen - FREE LAPTOP BAG,"54,499","79,999",32%,16,Free Shipping
75,HP ProBook 640 G1 - Core i5 4th Generation - 4GB RAM - 500GB HDD - 14inch Screen - Free Laptop Bag,"36,499","54,999",34%,60,Free Shipping
76,Thinkpad Yoga 260 - Core i5 6200U - 12.5inch 360Degree FHD TouchScreen - 8GB DDR4 RAM - 512GB NVME M2 SSD - Windows 10 Professional (Renewed),"55,500","72,499",23%,3,No Free Shipping
77,Core i5 1st Generation 4GB Ram 320 GB Hard disk combo Camera with Charger Slightly Used,"23,000","27,000",15%,2,Free Shipping
78,"MacBook Air i5 (13-inch, Early 2015) 8gb 128gb","73,000","85,000",14%,2,No Free Shipping
79,"Daraz Like New Laptops - Lenovo N23 Chromebook – 11.6″ – 4 G 4GB RAM, 16GB Storage, Chrome OS","16,999","19,000",11%,7,No Free Shipping
80,"MacBook Pro (Retina, 15-inch, Mid 2015) - Core i7 processor (Turbo Boost up to 3.4GHz) - RAM 16GB DDR3L - 512GB SSD Flash Storage - MacOS Installed","131,999","146,000",10%,2,No Free Shipping
81,"Daraz Like New Laptops - HP EliteBook 840 G1 Notebook PC Intel Core i7 4th Gen, 8GB DDR3 Ram, 256GB SSD Drive, 14.1"" Intel HD Display, Intel HD Graphics","39,999","55,000",27%,1,Free Shipping
82,Lenovo N23 Chromebook - 4gb/16gb - Play Store Supported - Excellent Battery Timing,"14,560","15,599",7%,3,No Free Shipping
83,"DELL Latitude 3189, Intel Pentium N4200 Quad-Core (1.1 GHz), 8 GB DDR3L Ram, 128 GB SSD, Intel HD Graphics 505, 11.6"" Touchscreen 1366 x 768 Convertible 2-in-1 Laptop Windows 10 Pro 64-Bit (Registered Windows)","32,499","39,999",19%,8,Free Shipping
84,HP Chromebook 11 G4 EE - 4GB RAM - 16GB ROM - Playstore Supported - 11.6 inch Display - Long Battery Life,"13,480","17,980",25%,0,No Free Shipping
85,"HP Probook 640 G2 14"" , Core i5-6300U 2.4GHz, 8GB RAM, 500GB HDD Drive, Windows 10 Pro 64Bit,","44,999","64,999",31%,51,Free Shipping
86,Daraz Like New Laptops - Lenovo N23 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported,"14,599","19,999",27%,8,Free Shipping
87,"HP EliteBook 840 G3 - 14” HD, Intel Core i5-6200U 2.4Ghz, 6th Gen 8GB DDR4 Ram 128GB SSD + 500GB HDD Windows 10 Pro 64bit","51,999","70,000",26%,61,No Free Shipping
88,"HP EliteBook 840 G4 14"" HD Laptop | Core i5-7200U 7th Gen 2.6GHz | 8GB DDR4 RAM | 256GB Solid State Drive | Windows 10 Pro","58,999","79,999",26%,11,Free Shipping
89,Lenovo ThinkPad X1 carbon touchscreen core i7 8th Generation,"146,000","165,000",12%,0,No Free Shipping
90,"Dell Inspiron Chromebook 11 3180-11.6"" HD -Intel Celeron N3060-4GB - 16GB eMMC - Play Store - Chrome OS - Black","14,500","22,000",34%,1,Free Shipping
91,Daraz Like New Laptops Hp Elitebook 820 G4 - Core i5 7th Generation - 8GB DDR4 RAM - 128GB SSD - 500GB HDD -12.5inch Screen - FREE LAPTOP BAG (Windows 11 Licensed),"54,999","62,999",13%,2,Free Shipping
92,"Daraz Like New Laptops - Dell Latitude 5520, Core i5 2nd generation, 8GB DDR3 Ram, 500GB Hard Drive, 15.6"" Led Display, Intel HD Graphics","27,999","40,000",30%,12,Free Shipping
93,"_Dell Core i5-2nd Generation | 4GB RAM , 320GB Hard Drive | 3Hours+ Battery Backup","25,500","40,000",36%,8,No Free Shipping
94,Lenovo Thinkpad T470 - Core i5 7th Generation - 8GB DDR4 - 256GB SSD - 14inch Screen - FREE LAPTOP BAG,"51,499","79,999",36%,6,Free Shipping
95,"Lenovo Thinkpad T460 14-Inch Laptop ( Intel Core i5-6300U Dual-Core 2.4GHz, 8GB DDR3, 500GB HDD, Windows 10 Pro","42,999","89,999",52%,6,Free Shipping
96,"Lenovo ThinkPad Yoga 11e 11.6-inch Touch Screen 360 Convertible Laptop ( Intel® Celeron® Processor N3150 2M Cache, up to 2.25 GHz 4GB 128GB SSD Windows 10 Pro Intel HD Graphics), Black","27,999","28,999",3%,22,No Free Shipping
97,Daraz Like New Laptops - Dell Chromebook 11 3189 - 360 TouchScreen - Intel Celeron N3060 - 4GB Ram - 16GB SSD With Play Store - PUBG Supported - With Box/Bag,"15,999","30,000",47%,4,Free Shipping
98,Apple Macbook A1278 13.3 LED Display - IntelÂ® Coreâ¢2 Duo Processor 4GB RAM - 250GB HDD - Dual Operating System WindowsÂ® & IOS (Activated),"28,999","32,000",9%,15,No Free Shipping
99,"Daraz Like New Laptops - Lenovo N22 Chromebook – 11.6″ – 4GB RAM, 16GB Storage, Chrome OS","15,999","18,000",11%,10,No Free Shipping
100,Dell Latitude 7490 14'' HD Intel Core i5-8250U 1.60GHz 8GB 256GB SSD Windows 10 pro,"64,999","89,999",28%,4,Free Shipping
101,Hp EliteBook 850 G3 - Core i5 6th Generation - 8GB DDR4 - 256GB SSD - 15.6inch Screen ( NUMPAD ) - FREE LAPTOP BAG,"62,999","79,999",21%,8,Free Shipping
102,HP 255 G4 AMD A6 6th Gen 4GB Ram 500 GB Hard Drive A-Plus Condition,"34,999","40,000",13%,3,No Free Shipping
103,Lenovo ThinkPad T450 - 14 Inch - Intel i5-5300U 2.30GHz - 8 GB RAM - 500GB HDD - Windows 10 Pro,"37,999","75,000",49%,32,Free Shipping
104,Laptop - HP EliteBook 820G3 -6TH Generation - 16GB RAM - 256GB SSD - 12.5 Inches - Windows® 10 Activated - Free Laptop bag,"52,999","70,000",24%,2,No Free Shipping
